post_id,platform,content_type,post_date,impressions,reach,likes,comments,shares,saves
POST_0001,Twitter,Text,2025-01-01 00:00:00,22352,6422,1270,207,286,155
POST_0002,YouTube,Text,2025-01-01 06:00:00,47352,7567,1353,456,141,189
POST_0003,Instagram,Static Image,2025-01-01 12:00:00,45912,27939,117,274,52,493
POST_0004,Twitter,Video,2025-01-01 18:00:00,15397,12413,74,383,303,262
POST_0005,Twitter,Text,2025-01-02 00:00:00,42555,11389,2690,237,68,79
POST_0006,YouTube,Text,2025-01-02 06:00:00,47959,14718,2731,341,360,399
POST_0007,Instagram,Carousel,2025-01-02 12:00:00,1728,20919,777,229,89,259
POST_0008,Instagram,Text,2025-01-02 18:00:00,1698,28246,425,10,219,551
POST_0009,Twitter,Text,2025-01-03 00:00:00,40954,13846,2136,167,191,100
POST_0010,LinkedIn,Carousel,2025-01-03 06:00:00,48280,25618,1332,433,62,358
POST_0011,Twitter,Static Image,2025-01-03 12:00:00,14923,36158,1805,445,72,379
POST_0012,Twitter,Text,2025-01-03 18:00:00,17779,5124,770,320,160,220
POST_0013,Twitter,Carousel,2025-01-04 00:00:00,8400,11587,1782,215,168,419
POST_0014,Twitter,Video,2025-01-04 06:00:00,25466,9911,384,118,88,123
POST_0015,YouTube,Static Image,2025-01-04 12:00:00,37939,38910,2046,387,175,421
POST_0016,Instagram,Video,2025-01-04 18:00:00,5360,17189,501,345,268,230
POST_0017,YouTube,Video,2025-01-05 00:00:00,36270,42227,2268,73,72,62
POST_0018,YouTube,Carousel,2025-01-05 06:00:00,18101,14843,173,396,244,484
POST_0019,YouTube,Text,2025-01-05 12:00:00,33307,29546,1544,65,76,573
POST_0020,Twitter,Carousel,2025-01-05 18:00:00,6486,23150,2140,206,158,482
POST_0021,LinkedIn,Carousel,2025-01-06 00:00:00,9335,42405,2780,210,323,518
POST_0022,Instagram,Carousel,2025-01-06 06:00:00,22364,917,2363,73,97,154
POST_0023,LinkedIn,Carousel,2025-01-06 12:00:00,38259,19735,1060,278,380,91
POST_0024,YouTube,Static Image,2025-01-06 18:00:00,24576,14034,1684,275,101,525
POST_0025,YouTube,Text,2025-01-07 00:00:00,32667,39128,1260,479,131,454
POST_0026,LinkedIn,Video,2025-01-07 06:00:00,12130,1646,80,321,101,597
POST_0027,LinkedIn,Video,2025-01-07 12:00:00,22972,11754,958,339,18,509
POST_0028,LinkedIn,Text,2025-01-07 18:00:00,41419,14503,1659,367,81,182
POST_0029,YouTube,Video,2025-01-08 00:00:00,2167,23500,2109,496,396,385
POST_0030,YouTube,Text,2025-01-08 06:00:00,28192,32843,44,96,278,573
POST_0031,Instagram,Video,2025-01-08 12:00:00,2062,7269,1082,167,338,404
